Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",1206,3,4.7u,C29823
"C10, C11, C12, C15, C4, C9",0402,6,100n,C1525
"C14, C5",0805,2,1u,C28323
"C6, C7",0402,2,20p,C1554
C8,CP_Elec_4x5.4,1,22u,C3356
D1,0603,1,1.9V PWR,C2286
D2,0805,1,3.3V PWR,C2297
D3,0805,1,LED,C2296
J1,PinHeader_1x06_P2.54mm_Vertical,1,Switches,
J2,PinHeader_1x09_P2.54mm_Vertical,1,Host,
J3,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
J4,PinHeader_1x04_P2.54mm_Vertical,1,SERIAL,
"R1, R10, R2, R3, R5, R6, R7, R8, R9",0402,9,2k,C4109
R11,0603,1,47,C23182
"R13, R14",0402,2,510,C25123
R4,0805,1,13,C25282
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75519PDRV,C2861631
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75533PDRV,C2861750
U5,pmw3389,1,PMW3389DM,
U6,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
Y1,Crystal_SMD_HC49-SD,1,8MHz,C20617538
